Melhor configuração encontrada:
Taxa de mutação: 1%
Taxa de cruzamento: 60%
Tamanho da população: 500
Número de gerações: 300
Taxa de elitismo: 50%

Resultados das 10 execuções:
Execução 1: 2.22866, 2.22866, 1.92208, 1.88575, 0.83727, 0.837202, 0.837202, 0.269475, 0.269475, 0.269475, 0.165104, 0.165104, 0.165104, 0.114286, 0.0905605, 0.0750003, 0.052868, 0.0509133, 0.0381378, 0.0106359, 0.0106359, 0.0106359, 0.00495548, 0.00495548, 0.00495548, 0.00495548, 0.00495548, 0.00365506, 0.00365506, 0.0034512, 0.0034512, 0.0034512, 0.00307738, 0.00307738, 0.00230128, 6.5454e-05, 6.5454e-05, 6.5454e-05, 6.5454e-05, 6.5454e-05, 6.5454e-05, 6.5454e-05, 6.5454e-05, 6.5454e-05, 6.5454e-05, 6.5454e-05, 6.5454e-05, 6.5454e-05, 6.5454e-05, 6.5454e-05, 6.5454e-05, 6.5454e-05, 3.4895e-05, 3.4895e-05, 3.4895e-05, 3.4895e-05, 2.16502e-05, 1.07149e-05, 1.07149e-05, 1.07149e-05, 1.07149e-05, 7.76074e-06, 7.61834e-06, 5.94764e-06, 4.17005e-06, 2.80299e-06, 2.80299e-06, 2.80299e-06, 1.48455e-06, 1.48455e-06, 1.2196e-06, 1.2196e-06, 4.00124e-07, 4.00124e-07, 4.00124e-07, 4.00124e-07, 4.00124e-07, 3.90759e-07, 3.90759e-07, 3.90759e-07, 3.32072e-07, 1.35045e-07, 1.35045e-07, 1.35045e-07, 1.23956e-07, 1.23956e-07, 1.23956e-07, 1.16415e-07, 4.73893e-08, 4.64683e-08, 4.64683e-08, 4.64683e-08, 2.18224e-08, 2.18224e-08, 1.82699e-08, 1.81523e-08, 1.81523e-08, 1.67032e-08, 1.3483e-08, 9.37914e-09, 8.19906e-09, 7.47729e-09, 6.95754e-09, 3.13529e-09, 3.13529e-09, 3.13529e-09, 3.13529e-09, 3.13529e-09, 3.13529e-09, 1.02065e-09, 1.02065e-09, 1.02065e-09, 1.02065e-09, 1.02065e-09, 9.59258e-10, 9.59258e-10, 4.97956e-10, 4.97956e-10, 4.97956e-10, 1.18942e-10, 1.18942e-10, 1.18942e-10, 1.18942e-10, 1.18942e-10, 1.18942e-10, 1.18942e-10, 1.18942e-10, 9.43854e-11, 9.43854e-11, 9.43854e-11, 7.62026e-11, 7.62026e-11, 5.30744e-11, 4.82498e-11, 4.48783e-11, 4.48783e-11, 2.45426e-11, 2.45426e-11, 2.02722e-11, 1.77747e-11, 1.60161e-11, 1.60161e-11, 1.60161e-11, 6.32783e-12, 3.31868e-12, 3.31868e-12, 3.31868e-12, 3.31868e-12, 3.31868e-12, 3.31868e-12, 3.31868e-12, 3.31868e-12, 3.03801e-12, 3.03801e-12, 3.03801e-12, 3.03801e-12, 2.42695e-12, 2.27773e-12, 4.19664e-13, 4.19664e-13, 4.19664e-13, 4.19664e-13, 4.19664e-13, 4.19664e-13, 4.19664e-13, 3.16636e-13, 3.16636e-13, 3.16636e-13, 3.16636e-13, 3.16636e-13, 3.16636e-13, 2.63345e-13, 2.3137e-13, 1.46105e-13, 1.46105e-13, 1.46105e-13, 9.28146e-14, 9.28146e-14, 9.28146e-14, 9.28146e-14, 2.88658e-14, 2.88658e-14, 2.88658e-14, 2.88658e-14, 2.88658e-14, 2.88658e-14, 2.88658e-14, 2.88658e-14, 2.88658e-14, 1.46549e-14, 1.46549e-14, 1.46549e-14, 1.46549e-14, 1.46549e-14, 7.54952e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16
Execução 2: 1.85078, 1.85078, 0.310258, 0.310258, 0.310258, 0.310258, 0.310258, 0.310258, 0.310258, 0.310258, 0.310258, 0.310258, 0.0667371, 0.0667371, 0.0667371, 0.0655191, 0.0655191, 0.0579173, 0.0410229, 0.0208186, 0.0208186, 0.0208186, 0.0180126, 0.0180126, 0.0180126, 0.0180126, 0.0119085, 0.00544623, 0.00544623, 0.00374083, 0.00374083, 0.00374083, 0.00374083, 0.0015785, 0.0015785, 0.0015785, 0.00110111, 0.00110111, 0.00110111, 0.00110111, 0.00100385, 0.000464884, 0.000372088, 0.000372088, 0.000348371, 6.11809e-05, 6.11809e-05, 6.11809e-05, 6.11809e-05, 6.11809e-05, 6.11809e-05, 5.70278e-05, 5.70278e-05, 5.70278e-05, 4.81352e-05, 2.64964e-05, 2.64964e-05, 2.64964e-05, 2.06325e-05, 1.41883e-05, 1.41883e-05, 1.13547e-05, 7.11311e-06, 7.11311e-06, 7.11311e-06, 6.18146e-06, 3.24441e-06, 3.24441e-06, 8.63283e-07, 8.63283e-07, 8.63283e-07, 8.63283e-07, 8.63283e-07, 8.09776e-07, 8.09776e-07, 8.09776e-07, 8.09776e-07, 7.25484e-07, 3.91772e-07, 3.66393e-07, 2.71041e-07, 1.53542e-07, 6.42627e-08, 6.42627e-08, 6.42627e-08, 6.42627e-08, 6.42627e-08, 6.42627e-08, 6.42627e-08, 6.42627e-08, 6.42627e-08, 2.20981e-08, 2.14023e-08, 2.14023e-08, 1.54135e-08, 1.54135e-08, 1.54135e-08, 1.47183e-08, 1.00807e-08, 1.00807e-08, 6.88883e-09, 6.88883e-09, 1.62076e-09, 1.62076e-09, 1.62076e-09, 1.62076e-09, 1.62076e-09, 1.62076e-09, 1.62076e-09, 1.62076e-09, 8.66678e-10, 8.66678e-10, 8.66678e-10, 5.77235e-10, 5.77235e-10, 5.77235e-10, 5.77235e-10, 2.67463e-10, 2.67463e-10, 2.67463e-10, 2.67463e-10, 2.60162e-10, 2.60162e-10, 2.60162e-10, 2.60162e-10, 2.60162e-10, 2.36466e-10, 7.3769e-11, 7.13638e-11, 7.13638e-11, 5.18807e-11, 5.18807e-11, 5.18807e-11, 3.37619e-11, 3.37619e-11, 3.37619e-11, 3.21063e-11, 2.191e-11, 1.23497e-11, 1.23497e-11, 1.23497e-11, 1.23497e-11, 1.16676e-11, 8.76854e-12, 8.76854e-12, 8.76854e-12, 8.76854e-12, 6.50191e-12, 5.88374e-12, 5.88374e-12, 4.27791e-12, 3.78053e-12, 3.37197e-12, 3.37197e-12, 1.45706e-12, 1.45706e-12, 1.45706e-12, 8.0691e-13, 8.0691e-13, 5.65326e-13, 5.65326e-13, 5.65326e-13, 5.65326e-13, 4.37428e-13, 4.37428e-13, 4.37428e-13, 4.37428e-13, 4.37428e-13, 3.02425e-13, 3.02425e-13, 6.08402e-14, 6.08402e-14, 6.08402e-14, 6.08402e-14, 6.08402e-14, 6.08402e-14, 6.08402e-14, 6.08402e-14, 6.08402e-14, 6.08402e-14, 3.59712e-14, 3.59712e-14, 3.59712e-14, 3.59712e-14, 3.59712e-14, 3.59712e-14, 1.46549e-14, 1.46549e-14, 1.46549e-14, 1.46549e-14, 1.46549e-14, 1.11022e-14, 7.54952e-15, 7.54952e-15, 7.54952e-15, 7.54952e-15, 7.54952e-15, 7.54952e-15, 7.54952e-15, 7.54952e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16
Execução 3: 1.17252, 1.17252, 1.09516, 0.426894, 0.275363, 0.275363, 0.275363, 0.275363, 0.275363, 0.275363, 0.137108, 0.137108, 0.0850075, 0.0850075, 0.0850075, 0.0521735, 0.0521735, 0.0521735, 0.0319276, 0.0158728, 0.0158728, 0.0158728, 0.0128245, 0.00722639, 0.00722639, 0.00722639, 0.00722639, 0.0055461, 0.00458844, 0.00311188, 0.00311188, 0.00311188, 0.00196525, 0.0014108, 0.0014108, 0.000814969, 0.000814969, 0.000814969, 0.00075598, 0.00075598, 0.000485829, 0.00031017, 0.00012419, 9.45624e-05, 9.45624e-05, 9.45624e-05, 9.45624e-05, 9.45624e-05, 9.45624e-05, 9.45624e-05, 5.32247e-05, 2.56665e-05, 2.56665e-05, 2.56665e-05, 1.83493e-05, 1.83493e-05, 1.83493e-05, 1.02167e-05, 1.02167e-05, 1.02167e-05, 1.02167e-05, 8.5387e-06, 3.25783e-06, 3.25783e-06, 2.25515e-06, 2.25515e-06, 2.25515e-06, 2.16205e-06, 2.16205e-06, 2.16205e-06, 2.16205e-06, 1.32205e-06, 7.15901e-07, 4.65367e-07, 4.65367e-07, 4.65367e-07, 4.65367e-07, 4.65367e-07, 1.55483e-07, 1.55483e-07, 1.55483e-07, 1.55483e-07, 1.16503e-07, 1.16503e-07, 9.50365e-08, 3.86995e-08, 3.86995e-08, 3.86995e-08, 3.86995e-08, 3.86995e-08, 2.24321e-08, 2.24321e-08, 6.73175e-09, 6.73175e-09, 6.73175e-09, 6.73175e-09, 6.73175e-09, 6.73175e-09, 6.73175e-09, 6.73175e-09, 6.73175e-09, 6.73175e-09, 6.73175e-09, 6.73175e-09, 4.23261e-09, 4.23261e-09, 4.23261e-09, 3.23881e-09, 2.51547e-09, 1.71204e-09, 1.71204e-09, 1.71204e-09, 1.32402e-09, 1.32402e-09, 4.17579e-10, 4.17579e-10, 4.17579e-10, 4.17579e-10, 4.17579e-10, 4.17579e-10, 2.74995e-10, 2.74995e-10, 2.74995e-10, 2.74995e-10, 1.57659e-10, 1.51311e-10, 8.18514e-11, 8.18514e-11, 8.18514e-11, 8.18514e-11, 8.18514e-11, 8.18514e-11, 4.9138e-11, 4.44769e-11, 4.44769e-11, 1.93485e-11, 1.93485e-11, 1.93485e-11, 1.93485e-11, 1.93485e-11, 1.93485e-11, 1.86131e-11, 1.62186e-11, 4.89964e-12, 4.89964e-12, 4.89964e-12, 4.89964e-12, 4.47331e-12, 4.47331e-12, 3.03446e-12, 3.03446e-12, 3.03446e-12, 3.03446e-12, 3.03446e-12, 3.03446e-12, 2.39497e-12, 2.39497e-12, 2.39497e-12, 2.34524e-12, 2.16405e-12, 1.7697e-12, 1.05205e-12, 9.09939e-13, 8.8507e-13, 8.8507e-13, 8.24674e-13, 5.79536e-13, 2.81108e-13, 2.81108e-13, 2.81108e-13, 2.81108e-13, 2.81108e-13, 2.81108e-13, 2.52687e-13, 1.81632e-13, 1.81632e-13, 1.81632e-13, 6.43929e-14, 6.43929e-14, 6.43929e-14, 6.43929e-14, 5.72875e-14, 5.72875e-14, 5.37348e-14, 5.37348e-14, 1.46549e-14, 1.46549e-14, 1.46549e-14, 1.46549e-14, 1.46549e-14, 1.11022e-14, 1.11022e-14, 1.11022e-14, 1.11022e-14, 1.11022e-14, 7.54952e-15, 7.54952e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16
Execução 4: 2.23846, 2.20629, 0.603527, 0.603527, 0.603527, 0.603527, 0.291913, 0.291913, 0.291913, 0.168269, 0.168269, 0.148562, 0.144488, 0.0922763, 0.0922763, 0.067125, 0.067125, 0.0463907, 0.0363858, 0.0341656, 0.0302134, 0.0267321, 0.00880701, 0.00880701, 0.00880701, 0.00777331, 0.00698549, 0.0055623, 0.00453892, 0.00375694, 0.00288007, 0.00148888, 0.00148888, 0.00148888, 0.00128293, 0.000822683, 0.000743136, 0.000743136, 0.000741055, 0.000143486, 0.000143486, 0.000143486, 0.000143486, 0.000143486, 0.000143486, 0.000143486, 0.000143486, 0.000143486, 0.000143486, 7.90119e-05, 3.51757e-05, 3.51757e-05, 3.51757e-05, 3.51757e-05, 2.17569e-05, 2.17569e-05, 2.17569e-05, 2.17569e-05, 8.44191e-06, 7.89029e-06, 7.89029e-06, 6.41594e-06, 6.41594e-06, 5.21087e-06, 5.21087e-06, 2.67726e-06, 2.67726e-06, 2.43882e-06, 2.43882e-06, 2.43882e-06, 1.22242e-06, 5.38067e-07, 5.38067e-07, 5.38067e-07, 5.38067e-07, 5.38067e-07, 5.38067e-07, 5.38067e-07, 4.74938e-07, 3.35014e-07, 3.35014e-07, 2.44364e-07, 2.44364e-07, 1.26065e-07, 1.26065e-07, 1.02391e-07, 1.02391e-07, 6.60295e-08, 6.60295e-08, 4.04031e-08, 4.04031e-08, 4.04031e-08, 4.04031e-08, 1.62931e-08, 1.62931e-08, 1.62931e-08, 1.62931e-08, 1.55761e-08, 1.55761e-08, 1.55761e-08, 6.79986e-09, 6.79986e-09, 6.79986e-09, 6.79986e-09, 6.79986e-09, 3.47857e-09, 2.85581e-09, 1.62896e-09, 1.62896e-09, 1.52523e-09, 1.17412e-09, 1.17412e-09, 1.17412e-09, 1.17412e-09, 5.93655e-10, 5.93655e-10, 5.93655e-10, 5.93655e-10, 5.93655e-10, 5.93655e-10, 4.46989e-10, 4.01382e-10, 1.8359e-10, 1.8359e-10, 1.8359e-10, 1.8359e-10, 1.8359e-10, 1.2556e-10, 1.2556e-10, 1.2556e-10, 8.9472e-11, 2.43827e-11, 2.43827e-11, 2.43827e-11, 2.43827e-11, 2.43827e-11, 2.43827e-11, 1.12022e-11, 1.12022e-11, 1.12022e-11, 1.12022e-11, 1.12022e-11, 1.12022e-11, 1.12022e-11, 1.12022e-11, 9.24105e-12, 9.24105e-12, 8.28537e-12, 5.47873e-12, 5.47873e-12, 3.95817e-12, 3.95817e-12, 3.95817e-12, 3.95817e-12, 3.43947e-12, 3.16946e-12, 3.00604e-12, 9.13492e-13, 9.13492e-13, 9.13492e-13, 9.13492e-13, 9.13492e-13, 9.13492e-13, 9.13492e-13, 3.98348e-13, 3.98348e-13, 3.98348e-13, 3.98348e-13, 3.37952e-13, 2.7045e-13, 2.52687e-13, 2.52687e-13, 1.35447e-13, 1.35447e-13, 1.35447e-13, 5.72875e-14, 5.72875e-14, 5.72875e-14, 5.72875e-14, 5.72875e-14, 5.01821e-14, 5.01821e-14, 5.01821e-14, 3.95239e-14, 2.88658e-14, 2.88658e-14, 7.54952e-15, 7.54952e-15, 7.54952e-15, 7.54952e-15, 7.54952e-15, 7.54952e-15, 7.54952e-15, 7.54952e-15, 7.54952e-15, 7.54952e-15, 7.54952e-15, 7.54952e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16
Execução 5: 1.09731, 1.09731, 1.09731, 1.09731, 1.02009, 0.626165, 0.626165, 0.424783, 0.33165, 0.304163, 0.0636816, 0.0636816, 0.0636816, 0.0636816, 0.0636816, 0.0610448, 0.0361886, 0.0361886, 0.0361886, 0.0260896, 0.0134449, 0.0111741, 0.00295345, 0.0026086, 0.0026086, 0.0026086, 0.0026086, 0.0026086, 0.0026086, 0.0026086, 0.00242293, 0.00242293, 0.000549759, 0.000549759, 0.000549759, 0.000329022, 0.000329022, 0.000329022, 0.000329022, 0.000329022, 0.000103849, 0.000103849, 0.000103849, 0.000103849, 0.000103849, 0.000103849, 0.000103849, 0.000103849, 8.43986e-05, 6.5984e-05, 2.9121e-05, 2.9121e-05, 2.9121e-05, 2.2109e-05, 1.72389e-05, 1.72389e-05, 1.16628e-05, 9.78244e-06, 7.15008e-06, 7.15008e-06, 7.15008e-06, 4.72996e-06, 4.72996e-06, 4.72996e-06, 4.72996e-06, 3.29844e-06, 2.70199e-06, 9.2339e-07, 9.2339e-07, 9.2339e-07, 6.72775e-07, 6.72775e-07, 3.0883e-07, 3.0883e-07, 3.0883e-07, 1.21952e-07, 3.35799e-08, 3.35799e-08, 3.35799e-08, 3.35799e-08, 3.35799e-08, 3.35799e-08, 3.35799e-08, 3.35799e-08, 3.35799e-08, 2.72062e-08, 2.72062e-08, 2.11636e-08, 2.11636e-08, 1.23536e-08, 1.23536e-08, 1.08381e-08, 4.19172e-09, 4.19172e-09, 2.37711e-09, 2.37711e-09, 2.27072e-09, 2.27072e-09, 2.27072e-09, 1.97224e-09, 1.97224e-09, 1.97224e-09, 1.9458e-09, 1.9458e-09, 1.9458e-09, 1.9458e-09, 8.89916e-10, 8.89916e-10, 8.89916e-10, 8.89916e-10, 6.82491e-10, 6.82491e-10, 6.82491e-10, 6.82491e-10, 4.58954e-10, 2.29833e-10, 2.29833e-10, 2.29833e-10, 2.19732e-10, 2.80598e-11, 2.80598e-11, 2.80598e-11, 2.80598e-11, 2.80598e-11, 2.80598e-11, 2.80598e-11, 2.80598e-11, 2.80598e-11, 2.80598e-11, 2.66174e-11, 2.66174e-11, 2.66174e-11, 2.52851e-11, 2.37894e-11, 1.7494e-11, 1.7494e-11, 1.7494e-11, 1.63927e-11, 8.59091e-12, 8.59091e-12, 8.59091e-12, 3.02025e-12, 3.02025e-12, 3.02025e-12, 3.02025e-12, 3.02025e-12, 3.02025e-12, 3.02025e-12, 3.02025e-12, 7.32303e-13, 7.32303e-13, 7.32303e-13, 5.15588e-13, 5.15588e-13, 5.15588e-13, 5.15588e-13, 5.15588e-13, 5.15588e-13, 5.15588e-13, 5.15588e-13, 5.15588e-13, 5.15588e-13, 3.20188e-13, 3.20188e-13, 3.20188e-13, 1.85185e-13, 1.85185e-13, 1.85185e-13, 1.81632e-13, 1.28342e-13, 1.07025e-13, 1.07025e-13, 6.43929e-14, 6.43929e-14, 6.43929e-14, 6.43929e-14, 6.43929e-14, 6.43929e-14, 5.72875e-14, 4.30767e-14, 4.30767e-14, 4.30767e-14, 2.53131e-14, 2.17604e-14, 2.17604e-14, 2.17604e-14, 2.17604e-14, 1.46549e-14, 1.46549e-14, 1.11022e-14, 1.11022e-14, 7.54952e-15, 7.54952e-15, 7.54952e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 3.9968e-15, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16, 4.44089e-16
