PopSize,MaxGenerations,CrossRate,MutationRate,CrossoverType,AverageCost,AverageTime
200,100,0.8,0.02,CX,23436.5,232
200,100,0.8,0.05,OX,23509.8,298
200,100,0.8,0.05,CX,23369.1,230.2
200,100,0.9,0.01,OX,23164.3,332.4
200,100,0.9,0.01,CX,23402.5,242.5
200,100,0.9,0.02,OX,23534,311.2
200,100,0.9,0.02,CX,23508.1,242.7
200,100,0.9,0.05,OX,23486,314.3
200,100,0.9,0.05,CX,23485,243.2
200,200,0.7,0.01,OX,23592.6,279.7
200,200,0.7,0.01,CX,23528.6,220.2
200,200,0.7,0.02,OX,23319,280.4
200,200,0.7,0.02,CX,23389.5,223.2
200,200,0.7,0.05,OX,23468,279.7
200,200,0.7,0.05,CX,23442.5,220
200,200,0.8,0.01,OX,23205.9,298
200,200,0.8,0.01,CX,23397.3,231.8
200,200,0.8,0.02,OX,23349.7,299.5
200,200,0.8,0.02,CX,23482,230.8
200,200,0.8,0.05,OX,23478.6,296.5
200,200,0.8,0.05,CX,23248,233.1
200,200,0.9,0.01,OX,23591,334.2
200,200,0.9,0.01,CX,23112.9,243.4
200,200,0.9,0.02,OX,23605.1,314.5
200,200,0.9,0.02,CX,23519.8,241.5
200,200,0.9,0.05,OX,23502.7,325.3
200,200,0.9,0.05,CX,23459.9,241.9
200,500,0.7,0.01,OX,23178.2,281.5
200,500,0.7,0.01,CX,23573.1,220.6
200,500,0.7,0.02,OX,23182.9,282.2
200,500,0.7,0.02,CX,23287.9,220.2
200,500,0.7,0.05,OX,23307.1,280.1
200,500,0.7,0.05,CX,23347,223.1
200,500,0.8,0.01,OX,23668.1,297.4
200,500,0.8,0.01,CX,23407.3,233.4
200,500,0.8,0.02,OX,23247.2,296.9
200,500,0.8,0.02,CX,23583.5,230.7
200,500,0.8,0.05,OX,22917.6,305.4
200,500,0.8,0.05,CX,23181,233.3
200,500,0.9,0.01,OX,23400.7,314.4
200,500,0.9,0.01,CX,23315.8,242.9
200,500,0.9,0.02,OX,23503.9,327.5
200,500,0.9,0.02,CX,23506.6,242.5
200,500,0.9,0.05,OX,23281,312.4
200,500,0.9,0.05,CX,23288.9,241.7
