Run,Generation,Ind0,Ind1,Ind2,Ind3,Ind4,Ind5,Ind6,Ind7,Ind8,Ind9,Ind10,Ind11,Ind12,Ind13,Ind14,Ind15,Ind16,Ind17,Ind18,Ind19,Ind20,Ind21,Ind22,Ind23,Ind24,Ind25,Ind26,Ind27,Ind28,Ind29,Ind30,Ind31,Ind32,Ind33,Ind34,Ind35,Ind36,Ind37,Ind38,Ind39,Ind40,Ind41,Ind42,Ind43,Ind44,Ind45,Ind46,Ind47,Ind48,Ind49
7,18,13226186,13226186,13226186,13226186,13163905,13090817,13090817,12975123,12453138,12229443,12201294,12033807,12033807,11935837,11925901,11195275,11027414,10795475,10661492,10661492,10360109,10217773,10217773,10129048,10081083,10056338,9840542,9834383,9639415,9555704,9495296,9214729,9148405,9053631,8824634,8804798,8804798,8730110,8643881,8339570,8339570,7456309,7316086,7112091,6273690,4550162,4550162,-3075371886384,-6587552932415,-10693792974798
7,19,13226186,13226186,13226186,13226186,13226186,13226186,12832542,12751599,12574336,12472103,12396535,12271206,11935837,11486896,11478124,11195275,11078015,11027414,10795475,10713971,10661492,10360109,10217773,10144650,10129048,10081083,9817015,9453842,9214729,9148405,9108328,9053631,8984483,8929822,8824634,8730110,8643881,8571162,7922566,7536867,7257876,7129041,6917529,6559706,4550162,-432661307876,-593561844744,-3696259631778,-5044623300012,-11255079520923
7,20,13226186,13226186,13226186,13226186,13226186,13226186,12832542,12832542,12754347,12732183,12472103,12126389,11387819,11291214,11266498,11154765,11037155,11027414,11027414,11003457,10928514,10918867,10906461,10713971,10661492,10480056,10251931,10243746,10144650,10129048,10081083,10046262,9944060,9841973,9148405,9148405,9108328,8967975,8561687,8500049,7747428,7536867,7536867,7257876,7110198,6837952,6559706,-168275919912,-3696259631778,-4255002710275
8,0,12583536,12539900,12473034,12218907,12094019,12086080,11881588,11873196,11870215,11676005,10965807,10739128,10581060,10533752,9993919,9947286,9833605,9757383,9559396,8777371,8429332,6310123,-1008808006674,-4318451965335,-5422663560846,-5715256527294,-7139856958773,-7723327826214,-8860763722752,-9364774961885,-11456735955308,-12085534308939,-13711444263510,-15101239419540,-15275647340982,-18410661759432,-19357084438104,-19538290890450,-19592463285720,-22509908635495,-22786973864760,-22840246410345,-23203291505742,-25809516414970,-32092809466539,-34698446990851,-35858529835740,-41103842658593,-59186949096447,-60156122910792
8,1,12694522,12583536,12583536,12583536,12583536,12583536,12539900,12473034,12086080,11881588,11881588,11879419,11870215,11236405,10987710,10965807,10965807,10929605,10868811,10734569,9947286,9947286,9757383,9559396,9226099,8904051,8812726,8777371,7405695,6310123,5814825,-1233944349360,-4255577382300,-4318451965335,-4318451965335,-4401793330368,-5422663560846,-5422663560846,-7139856958773,-7139856958773,-7350821237768,-7723327826214,-8860763722752,-15101239419540,-15275647340982,-15275647340982,-19592463285720,-23203291505742,-23203291505742,-26679846700696
8,2,12909268,12694522,12694522,12694522,12583536,12583536,12583536,12583536,12583536,12583536,12583536,12583536,12539519,12473034,11881969,10987710,10965807,10868811,10868811,10827204,10381579,10201685,10011648,9975194,9947286,9872630,9757383,9757383,9559396,8933847,8904051,8904051,8812726,8408110,6950558,5814825,5814825,-644566222930,-2842536222400,-3047736301950,-4567806491487,-7139856958773,-7663063500522,-7723327826214,-7723327826214,-7723327826214,-10759541654184,-19951034110872,-20883943268378,-33217962457212
8,3,12909268,12909268,12909268,12694522,12694522,12583536,12583536,12583536,12583536,12583536,12583536,12583536,11694405,11267978,11129088,10868811,10524450,10511377,10455441,10201685,10135954,9947286,9757383,9653182,9143919,8904051,8812726,8408110,7900091,7467955,7390232,4223956,3631201,-440574250368,-644566222930,-1352428843564,-1352428843564,-1768184309583,-4567806491487,-5054233540500,-5532202029254,-7139856958773,-7322396862430,-7723327826214,-7723327826214,-7723327826214,-11469476723571,-16180089824670,-19758467652030,-22858700138620
8,4,12909268,12909268,12909268,12583536,12583536,12583536,12325261,12262962,12229312,11868928,11747792,11563813,11336971,11267978,11129088,11129088,11079345,10662831,10621821,10201685,10201685,10201685,10135954,10135289,9757383,9653182,9143919,9143919,9032933,8904051,8812726,8557344,7934212,7900091,7615473,7390232,7252313,-644566222930,-785116551576,-1032210608907,-1352428843564,-1352428843564,-4567806491487,-4567806491487,-4567806491487,-5054233540500,-5532202029254,-7723327826214,-8040810904335,-19002714048444
8,5,12909268,12909268,12909268,12909268,12583536,12583536,12583536,12325261,12325261,12262962,12213065,12012663,11950625,11868928,11840867,11778221,11613905,11336971,11303353,11129088,11079345,11059947,10759827,10662831,10594302,10515481,10306178,10201685,10135289,9757002,9660387,9629664,9181987,9143919,8904051,8904051,8816395,8812726,8553416,8416212,7900091,7781713,7390232,-1352428843564,-3754026246763,-4567806491487,-4567806491487,-8040810904335,-10166569229179,-10723327838688
8,6,12909268,12909268,12909268,12909268,12909268,12909268,12583536,12583536,12325261,12317288,12213065,12012663,12012663,11965924,11840867,11840867,11656588,11587369,11447957,11336971,11129088,11068385,11059947,10801672,10759827,10662831,10594302,10594302,10298625,10135289,10069231,9990475,9660387,9537229,9329644,9083728,9069925,8904051,8416212,8158237,7948467,7856866,7390232,5710188,-1352428843564,-1773745013931,-2143062487344,-8749046586522,-10369548028855,-25454278933846
8,7,13073076,12909268,12909268,12909268,12909268,12909268,12689125,12583536,12583536,12583536,12374554,12317288,12183513,12058562,11965924,11774786,11546501,11401898,11330438,11068385,11068385,11059947,11050840,10849040,10763421,10759827,10296330,10135289,10026790,9921489,9513125,9510060,9460571,9445151,9379212,9172291,8904051,8775036,8652220,8505977,8282871,7948467,7390232,5710188,5710188,-892796067072,-1352428843564,-2613901615976,-10234090230668,-17129339080498
8,8,13073076,12909268,12909268,12909268,12909268,12689125,12689125,12583536,12564321,12374554,12183513,12058562,11796695,11757942,11405525,11401898,11330438,11189753,11068385,11068385,11050840,10506504,10296330,10135289,10026790,10026790,10019316,9850555,9720684,9445151,9081722,8904051,8904051,8774061,8652220,8505977,8282871,8282871,7948467,7948467,7948467,7816614,4763684,-2446967849714,-2613901615976,-5626470269307,-6128936768570,-9872772768522,-10073681621158,-16948982770920
8,9,13073076,13073076,12909268,12909268,12909268,12689125,12583536,12572644,12564321,12564321,12495833,12352473,12183513,12177856,12058562,11627364,11405525,11068385,11068385,11068385,10960883,10506504,10296330,10055128,10026790,9720684,9720684,9720684,9720684,9445151,9445151,8904051,8786989,8774061,8696788,8282871,8211138,8193289,7948467,7948467,7948467,7447353,7350508,6962959,-2213282350560,-3156258042756,-4283038161494,-5626470269307,-5898904861267,-9872772768522
8,10,13073076,13073076,12909268,12844359,12670864,12583536,12572644,12564321,12495833,12352473,12352473,12220126,11601593,11405525,11375113,11302306,11243002,11096145,11068385,11068385,10813889,10506504,10325716,9817099,9755323,9720684,9720684,9445151,9396245,8905367,8774061,8282871,8211138,8211138,8211138,7948467,7948467,7665937,7664830,7447353,7350508,5603189,-93640576824,-2181822730448,-5770852347022,-7119505856226,-8564801236140,-11281634652554,-16517206268000,-20120474036977
8,11,13073076,13073076,13073076,13073076,12974446,12670864,12670864,12628041,12574877,12564321,12564321,12495833,12495833,12352473,12352473,12049325,11601593,11367060,11096145,11083747,11068385,10813889,10799049,10762311,9620478,9445151,9396245,8905367,8774061,8774061,8282871,8282871,8211138,8211138,7982552,7948467,7948467,7795896,7664830,7596309,7350508,7085939,5603189,5603189,-93640576824,-2181822730448,-6598419629048,-7119505856226,-9199465759450,-9855472766559
