PopSize,Generations,ParentRatio,MutateProb,EliteRatio,SelectionMethod,Executions,AvgFitness,BestFitness,StdDeviation,OptimalFitness,DifferenceFromOptimal
25,40,50,1,1,1,20,257.05,309.00,32.85,309,0.00
25,40,50,1,1,2,20,262.80,309.00,27.23,309,0.00
25,40,50,1,2,1,20,271.80,309.00,25.84,309,0.00
25,40,50,1,2,2,20,263.55,309.00,29.37,309,0.00
25,40,50,1,5,1,20,263.95,309.00,31.39,309,0.00
25,40,50,1,5,2,20,277.90,309.00,25.75,309,0.00
25,40,50,2,1,1,20,280.35,309.00,21.56,309,0.00
25,40,50,2,1,2,20,281.30,309.00,21.28,309,0.00
25,40,50,2,2,1,20,272.50,309.00,27.10,309,0.00
25,40,50,2,2,2,20,275.90,309.00,23.05,309,0.00
25,40,50,2,5,1,20,268.30,309.00,26.95,309,0.00
25,40,50,2,5,2,20,283.55,309.00,17.37,309,0.00
25,40,50,5,1,1,20,293.70,309.00,16.50,309,0.00
25,40,50,5,1,2,20,282.80,309.00,14.28,309,0.00
25,40,50,5,2,1,20,282.30,309.00,19.29,309,0.00
25,40,50,5,2,2,20,280.30,309.00,17.54,309,0.00
25,40,50,5,5,1,20,279.10,309.00,21.52,309,0.00
25,40,50,5,5,2,20,287.90,309.00,14.59,309,0.00
25,40,70,1,1,1,20,267.95,309.00,30.10,309,0.00
25,40,70,1,1,2,20,267.65,309.00,22.82,309,0.00
25,40,70,1,2,1,20,275.00,309.00,26.12,309,0.00
25,40,70,1,2,2,20,281.95,309.00,20.88,309,0.00
25,40,70,1,5,1,20,273.25,309.00,22.41,309,0.00
25,40,70,1,5,2,20,277.05,309.00,18.73,309,0.00
25,40,70,2,1,1,20,277.50,309.00,25.79,309,0.00
25,40,70,2,1,2,20,279.00,309.00,19.31,309,0.00
25,40,70,2,2,1,20,276.10,309.00,14.47,309,0.00
25,40,70,2,2,2,20,288.45,309.00,18.28,309,0.00
25,40,70,2,5,1,20,276.85,309.00,22.64,309,0.00
25,40,70,2,5,2,20,287.30,309.00,15.34,309,0.00
25,40,70,5,1,1,20,290.60,309.00,16.06,309,0.00
25,40,70,5,1,2,20,280.25,309.00,13.74,309,0.00
25,40,70,5,2,1,20,296.90,309.00,15.77,309,0.00
