PopSize,Generations,ParentRatio,MutateProb,EliteRatio,SelectionMethod,Executions,AvgFitness,BestFitness,StdDeviation,OptimalFitness,DifferenceFromOptimal
25,40,70,5,2,2,20,288.45,309.00,14.02,309,0.00
25,40,70,5,5,1,20,289.60,309.00,15.13,309,0.00
25,40,70,5,5,2,20,300.35,309.00,13.38,309,0.00
25,40,100,1,1,1,20,281.95,309.00,18.69,309,0.00
25,40,100,1,1,2,20,284.70,309.00,20.54,309,0.00
25,40,100,1,2,1,20,283.05,309.00,19.91,309,0.00
25,40,100,1,2,2,20,281.40,309.00,15.94,309,0.00
25,40,100,1,5,1,20,274.50,309.00,26.32,309,0.00
25,40,100,1,5,2,20,291.15,309.00,15.13,309,0.00
25,40,100,2,1,1,20,286.10,309.00,22.75,309,0.00
25,40,100,2,1,2,20,274.70,309.00,15.00,309,0.00
25,40,100,2,2,1,20,281.65,309.00,17.21,309,0.00
25,40,100,2,2,2,20,291.00,309.00,15.58,309,0.00
25,40,100,2,5,1,20,279.15,309.00,15.45,309,0.00
25,40,100,2,5,2,20,291.20,309.00,15.25,309,0.00
25,40,100,5,1,1,20,294.60,309.00,15.29,309,0.00
25,40,100,5,1,2,20,291.90,309.00,16.34,309,0.00
25,40,100,5,2,1,20,302.75,309.00,10.83,309,0.00
25,40,100,5,2,2,20,292.05,309.00,15.94,309,0.00
25,40,100,5,5,1,20,294.50,309.00,17.93,309,0.00
25,40,100,5,5,2,20,299.50,309.00,13.10,309,0.00
50,20,50,1,1,1,20,285.15,309.00,20.04,309,0.00
50,20,50,1,1,2,20,277.50,309.00,15.48,309,0.00
50,20,50,1,2,1,20,275.85,309.00,18.57,309,0.00
50,20,50,1,2,2,20,285.95,309.00,16.61,309,0.00
50,20,50,1,5,1,20,280.70,309.00,23.47,309,0.00
50,20,50,1,5,2,20,280.65,309.00,20.42,309,0.00
50,20,50,2,1,1,20,285.95,309.00,14.35,309,0.00
50,20,50,2,1,2,20,287.70,309.00,18.47,309,0.00
50,20,50,2,2,1,20,288.45,309.00,20.55,309,0.00
50,20,50,2,2,2,20,286.40,309.00,14.21,309,0.00
50,20,50,2,5,1,20,284.20,309.00,15.94,309,0.00
50,20,50,2,5,2,20,284.10,309.00,16.61,309,0.00
50,20,50,5,1,1,20,292.00,309.00,15.70,309,0.00
50,20,50,5,1,2,20,286.45,309.00,14.32,309,0.00
50,20,50,5,2,1,20,289.75,309.00,15.30,309,0.00
50,20,50,5,2,2,20,291.75,309.00,16.29,309,0.00
50,20,50,5,5,1,20,294.75,309.00,14.63,309,0.00
50,20,50,5,5,2,20,289.05,309.00,17.36,309,0.00
50,20,70,1,1,1,20,291.90,309.00,14.73,309,0.00
50,20,70,1,1,2,20,279.95,309.00,18.59,309,0.00
50,20,70,1,2,1,20,283.25,309.00,16.00,309,0.00
50,20,70,1,2,2,20,290.10,309.00,14.20,309,0.00
50,20,70,1,5,1,20,292.75,309.00,15.11,309,0.00
50,20,70,1,5,2,20,286.75,309.00,18.31,309,0.00
50,20,70,2,1,1,20,288.75,309.00,18.51,309,0.00
50,20,70,2,1,2,20,283.90,309.00,15.43,309,0.00
50,20,70,2,2,1,20,286.20,309.00,17.51,309,0.00
50,20,70,2,2,2,20,288.10,309.00,14.19,309,0.00
50,20,70,2,5,1,20,288.80,309.00,16.99,309,0.00
50,20,70,2,5,2,20,294.60,309.00,16.22,309,0.00
50,20,70,5,1,1,20,296.30,309.00,16.90,309,0.00
50,20,70,5,1,2,20,287.40,309.00,16.65,309,0.00
50,20,70,5,2,1,20,298.85,309.00,14.16,309,0.00
50,20,70,5,2,2,20,296.30,309.00,14.44,309,0.00
50,20,70,5,5,1,20,291.90,309.00,14.73,309,0.00
50,20,70,5,5,2,20,297.60,309.00,14.31,309,0.00
50,20,100,1,1,1,20,292.25,309.00,17.97,309,0.00
50,20,100,1,1,2,20,288.45,309.00,20.23,309,0.00
50,20,100,1,2,1,20,289.95,309.00,14.63,309,0.00
50,20,100,1,2,2,20,295.50,309.00,15.30,309,0.00
50,20,100,1,5,1,20,294.20,309.00,15.87,309,0.00
50,20,100,1,5,2,20,293.15,309.00,15.23,309,0.00
50,20,100,2,1,1,20,292.55,309.00,15.60,309,0.00
50,20,100,2,1,2,20,288.15,309.00,15.99,309,0.00
50,20,100,2,2,1,20,298.50,309.00,15.09,309,0.00
50,20,100,2,2,2,20,298.30,309.00,13.24,309,0.00
50,20,100,2,5,1,20,293.45,309.00,14.49,309,0.00
50,20,100,2,5,2,20,295.80,309.00,16.82,309,0.00
50,20,100,5,1,1,20,304.90,309.00,9.84,309,0.00
50,20,100,5,1,2,20,297.20,309.00,17.28,309,0.00
50,20,100,5,2,1,20,304.90,309.00,9.84,309,0.00
50,20,100,5,2,2,20,300.00,309.00,14.09,309,0.00
50,20,100,5,5,1,20,298.50,309.00,14.77,309,0.00
50,20,100,5,5,2,20,303.65,309.00,10.79,309,0.00
100,10,50,1,1,1,20,295.05,309.00,14.37,309,0.00
100,10,50,1,1,2,20,287.65,309.00,14.92,309,0.00
100,10,50,1,2,1,20,295.40,309.00,13.98,309,0.00
100,10,50,1,2,2,20,288.85,309.00,13.75,309,0.00
100,10,50,1,5,1,20,299.40,309.00,14.99,309,0.00
100,10,50,1,5,2,20,290.90,309.00,13.78,309,0.00
100,10,50,2,1,1,20,301.10,309.00,12.18,309,0.00
100,10,50,2,1,2,20,287.40,309.00,14.92,309,0.00
100,10,50,2,2,1,20,289.20,309.00,15.38,309,0.00
100,10,50,2,2,2,20,288.85,309.00,13.77,309,0.00
100,10,50,2,5,1,20,297.70,309.00,15.92,309,0.00
100,10,50,2,5,2,20,288.95,309.00,14.01,309,0.00
100,10,50,5,1,1,20,298.60,309.00,12.85,309,0.00
100,10,50,5,1,2,20,291.80,309.00,16.54,309,0.00
100,10,50,5,2,1,20,293.45,309.00,14.68,309,0.00
100,10,50,5,2,2,20,295.25,309.00,15.65,309,0.00
100,10,50,5,5,1,20,292.60,309.00,14.16,309,0.00
100,10,50,5,5,2,20,291.95,309.00,15.92,309,0.00
100,10,70,1,1,1,20,300.35,309.00,13.38,309,0.00
100,10,70,1,1,2,20,279.85,309.00,13.48,309,0.00
100,10,70,1,2,1,20,299.15,309.00,13.77,309,0.00
100,10,70,1,2,2,20,294.15,309.00,15.37,309,0.00
100,10,70,1,5,1,20,294.35,309.00,15.02,309,0.00
100,10,70,1,5,2,20,297.40,309.00,16.50,309,0.00
100,10,70,2,1,1,20,300.45,309.00,13.38,309,0.00
100,10,70,2,1,2,20,297.00,309.00,15.34,309,0.00
100,10,70,2,2,1,20,300.80,309.00,12.85,309,0.00
100,10,70,2,2,2,20,290.25,309.00,14.48,309,0.00
100,10,70,2,5,1,20,292.90,309.00,13.37,309,0.00
100,10,70,2,5,2,20,292.00,309.00,16.31,309,0.00
100,10,70,5,1,1,20,301.50,309.00,11.46,309,0.00
100,10,70,5,1,2,20,301.15,309.00,12.08,309,0.00
100,10,70,5,2,1,20,299.00,309.00,12.25,309,0.00
100,10,70,5,2,2,20,298.10,309.00,14.93,309,0.00
100,10,70,5,5,1,20,299.00,309.00,12.25,309,0.00
100,10,70,5,5,2,20,297.20,309.00,14.79,309,0.00
100,10,100,1,1,1,20,299.00,309.00,12.25,309,0.00
100,10,100,1,1,2,20,285.85,309.00,12.39,309,0.00
100,10,100,1,2,1,20,302.40,309.00,11.52,309,0.00
100,10,100,1,2,2,20,297.35,309.00,16.24,309,0.00
100,10,100,1,5,1,20,301.10,309.00,12.18,309,0.00
100,10,100,1,5,2,20,297.55,309.00,14.38,309,0.00
100,10,100,2,1,1,20,302.75,309.00,10.83,309,0.00
100,10,100,2,1,2,20,295.90,309.00,14.88,309,0.00
100,10,100,2,2,1,20,302.05,309.00,12.36,309,0.00
100,10,100,2,2,2,20,297.80,309.00,13.93,309,0.00
100,10,100,2,5,1,20,298.65,309.00,12.76,309,0.00
100,10,100,2,5,2,20,294.10,309.00,13.92,309,0.00
100,10,100,5,1,1,20,302.75,309.00,10.83,309,0.00
100,10,100,5,1,2,20,293.15,309.00,16.84,309,0.00
100,10,100,5,2,1,20,304.00,309.00,10.00,309,0.00
100,10,100,5,2,2,20,293.40,309.00,14.37,309,0.00
100,10,100,5,5,1,20,302.75,309.00,10.83,309,0.00
100,10,100,5,5,2,20,304.85,309.00,9.99,309,0.00
