PopSize,Generations,ParentRatio,MutateProb,EliteRatio,SelectionMethod,Executions,AvgFitness,BestFitness,StdDeviation,OptimalFitness,DifferenceFromOptimal
50,20,50,5,2,1,20,13212390.35,13392236.00,106943.83,13549094,156858.00
50,20,50,5,2,2,20,13166828.70,13335781.00,95098.35,13549094,213313.00
50,20,50,5,5,1,20,13235797.70,13428703.00,132424.82,13549094,120391.00
50,20,50,5,5,2,20,13194503.35,13457358.00,98590.56,13549094,91736.00
50,20,70,1,1,1,20,13239510.25,13406969.00,105712.05,13549094,142125.00
50,20,70,1,1,2,20,13106000.45,13334016.00,116690.39,13549094,215078.00
50,20,70,1,2,1,20,13227139.35,13477838.00,129048.84,13549094,71256.00
50,20,70,1,2,2,20,13195964.00,13381640.00,103050.14,13549094,167454.00
50,20,70,1,5,1,20,13177090.25,13456659.00,117919.70,13549094,92435.00
50,20,70,1,5,2,20,13196858.60,13347304.00,97526.75,13549094,201790.00
50,20,70,2,1,1,20,13185230.60,13404214.00,131936.93,13549094,144880.00
50,20,70,2,1,2,20,13143940.60,13474183.00,113149.42,13549094,74911.00
50,20,70,2,2,1,20,13263669.05,13494864.00,123496.34,13549094,54230.00
50,20,70,2,2,2,20,13200595.20,13385229.00,103428.39,13549094,163865.00
50,20,70,2,5,1,20,13218871.10,13398477.00,119774.00,13549094,150617.00
50,20,70,2,5,2,20,13158712.55,13298931.00,99554.39,13549094,250163.00
50,20,70,5,1,1,20,13251964.70,13410785.00,90208.97,13549094,138309.00
50,20,70,5,1,2,20,13150544.95,13524340.00,121662.58,13549094,24754.00
50,20,70,5,2,1,20,13320802.80,13439002.00,64913.92,13549094,110092.00
50,20,70,5,2,2,20,13176467.95,13377710.00,106959.15,13549094,171384.00
50,20,70,5,5,1,20,13297595.75,13482886.00,85006.93,13549094,66208.00
50,20,70,5,5,2,20,13241625.20,13378216.00,75147.51,13549094,170878.00
50,20,100,1,1,1,20,13233514.20,13431461.00,107204.37,13549094,117633.00
50,20,100,1,1,2,20,13202688.00,13427006.00,106513.65,13549094,122088.00
50,20,100,1,2,1,20,13308759.45,13465867.00,112054.05,13549094,83227.00
50,20,100,1,2,2,20,13206151.45,13487304.00,127717.29,13549094,61790.00
50,20,100,1,5,1,20,13194902.45,13459919.00,100157.88,13549094,89175.00
50,20,100,1,5,2,20,13226025.45,13489043.00,97858.30,13549094,60051.00
50,20,100,2,1,1,20,13291728.90,13505878.00,116085.88,13549094,43216.00
50,20,100,2,1,2,20,13170464.15,13365738.00,125064.05,13549094,183356.00
50,20,100,2,2,1,20,13289409.25,13465867.00,113529.16,13549094,83227.00
50,20,100,2,2,2,20,13170801.45,13316766.00,82265.54,13549094,232328.00
50,20,100,2,5,1,20,13254641.60,13454352.00,86407.77,13549094,94742.00
50,20,100,2,5,2,20,13252404.10,13449526.00,99497.94,13549094,99568.00
50,20,100,5,1,1,20,13230991.70,13408983.00,71651.13,13549094,140111.00
50,20,100,5,1,2,20,13175095.05,13487304.00,114339.30,13549094,61790.00
50,20,100,5,2,1,20,13294969.90,13461293.00,96693.52,13549094,87801.00
50,20,100,5,2,2,20,13239018.65,13449297.00,89250.81,13549094,99797.00
50,20,100,5,5,1,20,13341669.70,13487268.00,70526.90,13549094,61826.00
50,20,100,5,5,2,20,13244928.30,13509264.00,97698.44,13549094,39830.00
100,10,50,1,1,1,20,13213200.50,13328961.00,69095.36,13549094,220133.00
100,10,50,1,1,2,20,13142635.90,13321885.00,93458.05,13549094,227209.00
100,10,50,1,2,1,20,13223887.05,13404214.00,102847.27,13549094,144880.00
100,10,50,1,2,2,20,13159032.95,13376282.00,92682.10,13549094,172812.00
100,10,50,1,5,1,20,13247491.90,13473903.00,139982.57,13549094,75191.00
100,10,50,1,5,2,20,13164246.70,13281669.00,68591.51,13549094,267425.00
100,10,50,2,1,1,20,13250021.45,13420009.00,99008.00,13549094,129085.00
100,10,50,2,1,2,20,13173243.50,13379098.00,88592.30,13549094,169996.00
100,10,50,2,2,1,20,13240320.60,13392663.00,92537.85,13549094,156431.00
100,10,50,2,2,2,20,13154470.35,13449526.00,147320.10,13549094,99568.00
100,10,50,2,5,1,20,13229674.85,13396994.00,82100.65,13549094,152100.00
100,10,50,2,5,2,20,13177644.20,13383096.00,73684.78,13549094,165998.00
100,10,50,5,1,1,20,13247704.35,13410336.00,75944.43,13549094,138758.00
100,10,50,5,1,2,20,13218190.70,13449297.00,115670.43,13549094,99797.00
100,10,50,5,2,1,20,13252271.25,13491239.00,134101.85,13549094,57855.00
100,10,50,5,2,2,20,13164838.65,13291844.00,94428.59,13549094,257250.00
100,10,50,5,5,1,20,13213220.25,13359133.00,127137.80,13549094,189961.00
100,10,50,5,5,2,20,13172385.50,13372140.00,101314.36,13549094,176954.00
100,10,70,1,1,1,20,13280706.45,13417897.00,77436.25,13549094,131197.00
100,10,70,1,1,2,20,13191775.95,13365781.00,77274.07,13549094,183313.00
100,10,70,1,2,1,20,13257915.20,13456463.00,120865.45,13549094,92631.00
100,10,70,1,2,2,20,13201948.90,13451668.00,96538.96,13549094,97426.00
100,10,70,1,5,1,20,13260794.15,13393183.00,107068.36,13549094,155911.00
100,10,70,1,5,2,20,13219471.65,13494420.00,113629.65,13549094,54674.00
100,10,70,2,1,1,20,13273240.70,13374699.00,95699.18,13549094,174395.00
100,10,70,2,1,2,20,13223911.90,13401525.00,85869.64,13549094,147569.00
100,10,70,2,2,1,20,13260306.65,13524340.00,111815.06,13549094,24754.00
100,10,70,2,2,2,20,13217723.90,13381147.00,100816.43,13549094,167947.00
100,10,70,2,5,1,20,13265503.50,13406758.00,89874.50,13549094,142336.00
100,10,70,2,5,2,20,13245435.60,13433089.00,114484.31,13549094,116005.00
100,10,70,5,1,1,20,13228005.60,13380166.00,68310.93,13549094,168928.00
100,10,70,5,1,2,20,13151365.20,13286495.00,65091.03,13549094,262599.00
100,10,70,5,2,1,20,13279120.80,13436707.00,98520.85,13549094,112387.00
100,10,70,5,2,2,20,13245303.80,13389085.00,85557.21,13549094,160009.00
100,10,70,5,5,1,20,13258417.40,13396513.00,71837.75,13549094,152581.00
100,10,70,5,5,2,20,13229954.75,13408013.00,95179.66,13549094,141081.00
100,10,100,1,1,1,20,13248812.75,13389677.00,74475.75,13549094,159417.00
100,10,100,1,1,2,20,13246162.20,13368048.00,86603.70,13549094,181046.00
100,10,100,1,2,1,20,13278942.35,13404547.00,97695.23,13549094,144547.00
100,10,100,1,2,2,20,13235481.85,13324723.00,69567.01,13549094,224371.00
100,10,100,1,5,1,20,13265865.80,13443788.00,105406.65,13549094,105306.00
100,10,100,1,5,2,20,13217783.10,13317024.00,65221.18,13549094,232070.00
100,10,100,2,1,1,20,13279520.50,13422164.00,72740.81,13549094,126930.00
100,10,100,2,1,2,20,13196407.65,13350463.00,75251.09,13549094,198631.00
100,10,100,2,2,1,20,13294899.25,13403254.00,66284.76,13549094,145840.00
100,10,100,2,2,2,20,13208904.95,13321092.00,57096.75,13549094,228002.00
100,10,100,2,5,1,20,13307666.00,13430762.00,96441.96,13549094,118332.00
100,10,100,2,5,2,20,13196463.40,13332338.00,60454.18,13549094,216756.00
100,10,100,5,1,1,20,13236125.60,13402758.00,79423.18,13549094,146336.00
100,10,100,5,1,2,20,13213838.30,13427176.00,86059.15,13549094,121918.00
100,10,100,5,2,1,20,13243586.25,13363667.00,87496.35,13549094,185427.00
100,10,100,5,2,2,20,13211498.75,13358610.00,77348.74,13549094,190484.00
100,10,100,5,5,1,20,13292951.85,13454349.00,74527.25,13549094,94745.00
100,10,100,5,5,2,20,13249121.70,13463979.00,93503.60,13549094,85115.00
