pop_size,generations,beta,mutation_rate,n,d,mean,std
100,300,4,0.2,50,40,332.6,19.54584354792599
100,500,4,0.2,50,20,332.7,25.608787554275192
200,300,3,0.5,50,40,332.7,27.419153889206722
100,500,5,0.2,30,20,332.9,12.972663566130127
100,500,4,0.2,30,20,333.1,27.75770163396098
100,500,4,0.5,50,20,333.4,19.910801088856267
50,500,3,0.5,30,20,333.7,20.42082270624766
200,500,5,0.2,30,20,334.3,23.177791094062435
50,500,3,0.2,50,40,334.7,15.205591076969023
100,500,3,0.2,50,20,335.0,26.053790511171304
200,300,4,0.5,30,20,335.3,27.499272717655643
50,300,3,0.2,30,40,336.3,20.62062074720351
200,300,5,0.2,50,20,336.7,28.16398409316409
50,300,3,0.2,50,20,336.8,26.727513913568544
100,500,5,0.5,30,20,336.9,24.631077930127216
50,500,5,0.5,50,20,337.0,30.577769702841312
100,500,3,0.5,30,40,337.3,17.332339715110596
100,300,3,0.2,30,40,337.3,20.49902436702781
200,500,5,0.2,30,40,337.5,25.96632434519757
50,300,3,0.5,50,40,337.9,26.979436613836103
50,300,4,0.2,50,40,338.6,25.935304123915728
100,500,3,0.2,30,20,339.1,22.402901597784158
50,300,3,0.2,50,40,340.0,11.47170431975999
50,500,3,0.2,30,20,340.3,30.675886295264558
50,300,3,0.2,30,20,340.5,31.254599661489827
50,500,4,0.2,30,40,340.7,22.33853173330781
200,300,4,0.2,30,40,340.8,26.76116589388437
50,300,5,0.5,30,40,341.3,28.77168747223562
100,500,5,0.2,50,40,341.8,30.866810654811747
50,500,4,0.2,30,20,342.1,30.898058191413906
200,300,4,0.2,50,20,344.4,30.981284673170027
50,500,5,0.2,30,20,344.9,25.657162742594906
50,500,5,0.5,50,40,345.3,23.61800160894228
50,500,4,0.2,50,20,346.1,19.07065809037538
50,300,5,0.2,50,20,347.3,29.411052344314374
100,300,4,0.5,30,40,349.0,24.314604664686613
100,300,3,0.2,30,20,349.2,18.076504086797314
50,300,5,0.2,50,40,352.0,32.14031735997639
