Execucao,ind0,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25,ind26,ind27,ind28,ind29,ind30,ind31,ind32,ind33,ind34,ind35,ind36,ind37,ind38,ind39,ind40,ind41,ind42,ind43,ind44,ind45,ind46,ind47,ind48,ind49,ind50,ind51,ind52,ind53,ind54,ind55,ind56,ind57,ind58,ind59,ind60,ind61,ind62,ind63,ind64,ind65,ind66,ind67,ind68,ind69,ind70,ind71,ind72,ind73,ind74,ind75,ind76,ind77,ind78,ind79,ind80,ind81,ind82,ind83,ind84,ind85,ind86,ind87,ind88,ind89,ind90,ind91,ind92,ind93,ind94,ind95,ind96,ind97,ind98,ind99
10,0,27640,27465,27465,27430,25872,25872,25872,25872,25872,25872,25872,25872,25872,25872,25872,25831,25831,25831,25831,25831,25831,25295,25295,25295,24674,24674,24674,24674,24674,24674,24674,24674,24674,24674,24674,24674,24674,23683,23683,23683,23683,23683,23683,23683,23683,23381,23325,23325,22300,22300,22300,21835,21835,21835,21835,21835,21835,21835,21835,21595,21595,21595,21595,21595,21171,21171,20780,20780,20780,20780,20780,20780,20780,20780,20780,20780,20780,20616,20616,20616,20616,20616,20616,20616,20616,20616,20616,20616,20431,20431,20431,20431,20431,20431,20431,20431,20431,20431,20431,
11,0,26837,26837,26837,26818,26784,26045,26045,26045,26045,26045,26045,26045,26045,26045,26045,26045,26044,26044,25842,25842,24033,24033,24033,24033,24033,24033,24033,24033,24033,24033,24033,24033,24033,24033,24033,24033,24033,23196,23196,23071,23071,23071,22239,22239,22239,22239,22239,22239,22191,22191,22191,22191,21345,21345,21332,21332,21332,21332,21332,21332,20933,20933,20933,20933,20933,20933,20933,20933,20895,20895,20818,20661,20661,20661,20661,20661,20661,20661,20482,20245,20245,20245,20245,20074,20074,19972,19972,19972,19884,19884,19884,19884,19884,19884,19884,19883,19883,19883,19763,
12,0,26349,26349,26349,26349,26176,26176,26176,26176,26176,26176,26176,25593,25593,25593,25593,25593,25593,25593,25593,25593,25593,25593,24913,24913,24913,24057,24057,24057,24057,24057,24057,24057,24057,24057,24057,23910,23910,23910,23603,23603,23603,23603,23293,23293,23203,22832,22431,22431,22431,22431,22431,22092,22092,22092,22092,22092,22056,22056,22056,21703,21676,21638,21133,21133,21133,21133,21133,21133,21133,21081,20625,20625,20625,20625,20625,20625,20362,20362,20362,20362,20362,20362,20362,20362,20362,20301,20301,19998,19998,19998,19998,19998,19998,19998,19998,19998,19998,19998,19998,
13,0,25895,25895,25895,25895,25895,25895,25895,25895,25895,25895,25895,25895,25895,25895,25895,25895,25895,25895,25895,25895,25895,25813,25813,25813,24709,24709,24709,24709,24709,24709,24709,24709,24709,24476,24476,24476,24476,24476,24476,23836,23836,23836,23836,23344,23344,23344,23012,22782,22782,22676,22555,22555,22555,22333,21795,21795,21795,21795,21314,21314,21314,21310,21310,21241,21241,21241,21074,21074,21074,21074,21074,21074,21074,20994,20994,20994,20994,20994,20908,20908,20840,20840,20840,20840,20840,20840,20754,20752,20752,20608,20608,20608,20608,20192,20192,20192,20192,20192,20192,
14,0,26428,26428,26428,26428,26428,25611,25611,25611,25611,25611,25611,25611,25611,25611,25611,25611,25611,25611,25611,25611,25611,25611,25611,25611,25611,25313,25313,25313,24732,23954,23954,23954,23954,23802,23802,23365,23365,23365,23365,23365,23365,23365,23365,23090,22737,21797,21797,21797,21797,21797,21797,21797,21797,21797,21797,21797,21474,21474,21474,21474,21474,21474,21474,21474,21474,21474,21474,21474,21191,21191,21191,21191,21191,21191,21191,20778,20622,20494,20494,19961,19961,19961,19846,19846,19846,19846,19846,19846,19846,19846,19846,19846,19846,19846,19846,19846,19846,19846,19846,
15,0,27195,26871,26871,26846,26846,26745,26587,26587,26587,26587,26587,26587,26587,26587,26426,26426,26204,26204,25998,25923,25923,25923,24936,24936,24913,24913,24913,24913,24913,24913,24148,24148,24148,24148,24148,24148,22627,22627,22627,22627,22627,22295,22295,22295,22295,22295,22022,22022,22022,22022,22022,21355,21355,21355,21355,21324,21248,21089,21080,21080,21029,20910,20892,20892,20717,20717,20644,20644,20481,20481,20395,20395,20395,20304,20304,20304,20220,20220,20220,20116,20116,20116,20037,20037,20037,20037,20037,20037,20037,19990,19990,19990,19990,19990,19990,19990,19990,19990,19990,
16,0,27768,26345,26345,26345,26345,26345,26345,26345,26345,26345,26345,26345,26345,26345,26345,26345,25229,25068,25068,25068,25068,25068,25068,25068,25068,25068,25068,25068,25068,24660,24398,24398,23675,23675,23675,23675,23675,23675,23675,23675,23159,23159,23159,23159,23159,22455,22455,22455,22455,22223,22223,22093,22093,22093,22093,21871,21871,21871,21679,21679,21561,20661,20661,20661,20661,20661,20661,20661,20661,20528,20528,20528,20528,20528,20277,20277,20277,20277,20277,20092,20092,19979,19979,19979,19979,19811,19811,19667,19667,19667,19667,19667,19667,19667,19667,19667,19667,19667,19667,
17,0,26280,26280,26280,26280,26280,26280,26280,25942,25942,25942,25942,25942,25942,25942,25942,25942,25942,25942,25942,25942,25942,25942,25942,25616,25616,25409,25409,25409,25409,25409,25409,24944,24944,24851,24851,24851,24851,24851,24851,24049,23104,23104,23104,23104,23104,23048,22774,22774,22774,22164,22164,22164,22164,22164,22164,22164,22164,21927,21927,21858,21381,21381,21381,21381,21381,21161,21144,21144,21144,20928,20928,20928,20813,20813,20813,20813,20713,20665,20641,20641,20641,20438,20438,20438,20356,19876,19876,19876,19876,19876,19876,19876,19876,19876,19744,19744,19744,19744,19744,
18,0,27365,27365,26884,26884,26884,26321,26321,26321,26321,26321,25907,25907,25907,25907,25316,25289,25289,25289,25289,25289,25289,25289,25289,25289,25289,25289,25289,25279,25279,25279,25279,25279,24445,23756,23756,23756,23727,23727,23727,23727,23727,23727,23499,23492,23476,23476,23476,22685,22621,22349,22349,22252,21953,21711,21711,21402,21402,21402,21402,21402,21402,21402,21402,21402,21402,21198,21198,21198,21198,20683,20683,20683,20683,20683,20683,20683,20683,20683,20683,20683,20668,20668,20668,20668,20668,20668,20668,20659,20659,20578,20578,20578,20578,20578,20578,20578,20578,20578,20578,
19,0,28088,27634,27253,26338,25653,25653,25653,25653,25653,25384,25384,25384,25384,25384,25384,25384,25384,25384,24340,24340,24340,24340,24340,24340,24340,24340,24340,24340,24340,24340,24340,24340,23789,23789,23789,23789,23789,23789,23789,23789,23561,23475,23475,22974,22974,22974,22623,22623,22623,22623,22432,21782,21782,21650,21650,21027,21027,21027,20906,20906,20906,20906,20906,20906,20906,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20204,20204,20204,20034,19908,19908,19908,19908,19908,19908,19908,19908,19822,19590,19590,19590,19590,19590,19590,19590,19590,19590,19590,19590,
